,ID,target
200,PKB00334,(((((((..[[[[[[[(((.[[....))))))))))]].(((((((.(((....))).))))))).....]]]]]]]
201,PKB00274,.((((((...........[[[[[[............))))))]]]]]].
202,PKB00056,((((((.[[[[))))))...]]]]
203,PKB00287,.((((..[[[[)))).....]]]]..
204,PKB00007,................(((..[[[[[[)))...]]]]]]...
205,PKB00147,.((((((((((...[[..[[[[[[)))))))))).......]]]]]].]].
206,PKB00240,..............((((.[[[[.))))........]]]].
207,PKB00091,.((((.....[[[[[))))......].]]]]..
208,PKB00300,.......(((((..[[[[[[)))))...]]]]]]...
209,PKB00180,.((((((.((((((((..((....[[[[[[[.))..)))))))).))))))....]]]]]]]..
210,PKB00211,.(((((((......(((((((((((..........[[[[[.......)))))))))))....)))))))...]]]]]...
211,PKB00173,((((.[[[[[..))))........(((((]]]]]((((....((((....)))).))))........))))).
212,PKB00033,.............(((....[[[[[)))...]]]]]....
213,PKB00122,.(((((...[[[[[[[)))))..]]]]]]].
214,PKB00102,.((((.[[[[)))).....]]]].
215,PKB00293,.((((..[[[)))).....]]]..
216,PKB00042,.............((((..[[[.)))).........]]]
217,PKB00231,.(((((((((......((((((((......[[[[[.......))))))))....)))))))))..]]]]].
218,PKB00260,.(((((.....((((......))))[[[[.)))))..................]]]]
219,PKB00167,.((((..[[[[[[[[))))......].]]]]]]].
220,PKB00076,(((((((........[[[[(((.......))))))))))...(((((((....((((....))))..)))))))......]]]].....
221,PKB00136,.(((((((..((((((..[[[[[[)))))).......((((((....))))))..((((((((((((.....)))))))......))))))))))))((((((((....)))))))).......]]]]]]....
222,PKB00085,.(((..[[[[[[)))..]]]]]].
223,PKB00314,(((((((..[[[[[[[(((..[....))))))))))].(((((((....)))))))....]]]]]]]
224,PKB00254,............(((((((((((...[[[[[[[)))))))))))((((((((.........))).)))))...]].]]]]].
225,PKB00194,..(((.[[[[[[[)))....]]]]]]].
226,PKB00205,.((..((.[[[[..))(((((....))).))..))........]]]].
227,PKB00184,.(((((.[[[[[[)))))......]]]]]].
228,PKB00244,.((((((((((.........[[[[[[[)))))))))).........]]]].]]].
229,PKB00304,(((((...[[[......)))))........]]].
230,PKB00095,.(((.[[[[)))......]]]].
231,PKB00126,..(((..[[[[[[)))....]]]]]].
232,PKB00066,.......(((..[[[[[....))).......]]]]]....
233,PKB00177,............(((((.((((((......[[[[[[.)))))).)))))..........]]]]]].....
234,PKB00330,(((((((.[[[[[[[[(((..[....))))))))))].(((((....)))))....]]]]]]]]
235,PKB00270,.((((((((..............((((((.....))))))[[[[[.)))))))).]]]]]..
236,PKB00221,.((((((...(((.[[[[[)))..)))))).........]]]]].
237,PKB00003,................[[[[[[...((((]]]]]]............))))...
238,PKB00143,.(((((((....[[[[[(((....(((((((((.....)))))))))))))))))))........]]]]].
239,PKB00052,((((((((((.(((.[[[.[[[))).)))))))))).........]]].]]]
240,PKB00283,.((((..[[[[)))).....]]]].....
241,PKB00298,.(((....[[[[[)))..]]]]]......
242,PKB00049,(((((.[[[[[[..))))).....]]]]]]
243,PKB00158,.((((.....[[[[[))))...]]]]].
244,PKB00018,...............(((...[[[[)))..]]]]....
245,PKB00008,..............(((..[[[[[[)))..]]]]]]....
246,PKB00148,.((..((((((((((.((((((.......))))))...)).....[[[......))))))))..))]]]...
247,PKB00288,.((((..[[[)))).....]]]...
248,PKB00079,...........((((((((..[[[[[[[)))))))).................]]]]]]].
249,PKB00139,..((((((....[[[[((((.....((((((((.....)))))))))))))))))).........]]]].
250,PKB00168,.((((((((....(((((...[[[[[..))))).....((((((....)))))))))))))).((((((((((.....))))))))))........]]]]]....
251,PKB00178,..((((...[[[)))).....(((((((((.]]].))))))))).
252,PKB00129,..((....[[[[[[..((((((((((((.....))))))))))))...[[..))]].....]]]]]].
253,PKB00069,(((((((((........................[[[[[[[))))))).))...]]].]]]]
254,PKB00078,...........((((((((.[[[[[[[)))).))))..................]]]]]]].
255,PKB00138,.((((((((..((((((..[[[[[.))))))....((((((.....)))))))))))))).((((((.....)))))).........]]]]]....
256,PKB00169,.((((((((((((.[[[[[[.........)))))))))))).....((.(((((.]]]]]]))))).))....
257,PKB00179,.((((((((((.(((((((.((...[[[[[[[[.))))))))).))))))))))..]]]]]]]]....
258,PKB00128,............(((((((((((....[[[[[)))))))))))..........]]]]].
259,PKB00068,(((.(((....((((.[[[[[[[..........)))).....))).)))............]]]]]]]
260,PKB00299,.(((.[[[[[[)))..]]]]]]...
261,PKB00108,...((((...[[[[[[[[))))....]]]]]]]].
262,PKB00048,...........((((((.(..[[[[[[[).))))))..................]]]]]]]
263,PKB00159,.(((.[[[[[.)))....].]]]].
264,PKB00149,.(((((((.((.((((((((((.(((((....))))))))).)))))).))....[[[.[[[[[..)))))))..........]]]]]]]].
265,PKB00289,..((((..[[[[)))).....]]]]...
